Absence_of_corruption_Index__IDEA_.png,"The graph shows the absence of corruption index (IDEA) in 19 different countries from 1975 to 2021. Azerbaijan, Armenia, and Bosnia and Herzegovina have missing data (1975 to 1984). Countries such as Iran, Azerbaijan, Somalia, Angola, and Malawi have reduced values in the index from 1975 to 2021. Several countries such as Congo, Uruguay, Romania, UAE, Libya, Tunisia, and Gabon increased in the index from 1975 to 2021."
Access_to_clean_fuels_and_technologies_for_cooking_____of_population_.png,"The graph shows the percentage of the population with access to clean fuels and technologies for cooking of selected countries from 2000 to 2022. Most of the countries exhibited an increase in the percentage of population with said access, except for Palau which dropped between 20% to 40% of the population starting from 2015. Majority of the countries also have 80% to 100% of their population with access to clean fuels and technologies for cooking by 2022."
Access_to_clean_fuels_and_technologies_for_cooking__rural____of_rural_population_.png,"The graph shows the percentage of the rural population with access to clean fuels and technologies for cooking of selected countries from 2000 to 2022. All countries exhibited an increase in the percentage of rural population with said access. Countries such as Dijibouti, Solomon Island, North Korea, Sierra Leone, Haiti, and Mozambique still have little to no access (0% to 20%) by 2022.Majority of the countries such as Turkey, Australia, and Japan also have most (80% to 100%) of their rural population with access to clean fuels and technologies for cooking by 2022."
Access_to_clean_fuels_and_technologies_for_cooking__urban____of_urban_population_.png,"The graph shows the percentage of the urban population with access to clean fuels and technologies for cooking of selected countries from 2000 to 2022. Most countries exhibited an increase in the percentage of urban population with said access, except for Jamaica and Montenegro which both dropped to 60% to 80% between 2020 to 2022. Countries such as Madagacar, Haiti, Benin, Comoro, Tanzania, North Korea, and Uganda still have little to no access (0% to 20%) by 2022. Several countries such as Myanmar, Gabon, Dominica, Nauru, Marshall Island, Botswana, Tonga, Slovenia, Uruguay, Poland, Sain Kitts and Nevies, Bahrain, and Lithuania also have most (80% to 100%) of their urban population with access to clean fuels and technologies for cooking by 2022."
Access_to_electricity____of_population_.png,"The graph shows the percentage of population with access to electricity of selected countries from 1990 to 2022. Only Pakistan and Cabo Verde have missing data (1990 to 1995). The trend for all contries is generally upward, with most countries having most of their population with access to electricity by 2022. Kenya exhibited the highest percentage increase in population with access to electricity."
Access_to_electricity__rural____of_rural_population_.png,"The graph shows the percentage of rural population with access to electricity of selected countries from 1990 to 2022. Majority of the countries have missing data during 1990 to 1995, while South Sudan has missing data up to 2003. The trend for the countries is generally upward, with most countries having increased access to electricity in rural areas. Rural population of some countries such as South Sudan, Mozambique, Burkina Faso, and Papua New Guinea had little to no access to electricity throughout the years."
Access_to_electricity__urban____of_urban_population_.png,The graph shows the percentage of urban population with access to electricity of selected countries from 1990 to 2022. Majority of the countries have missing data during 1990 to 1995. Most countries had the same or an increased access to electricity for its urban population from 1990 to 2022. Majority of the countries have given access to electricity to most of their urban population (> 87%) by 2022. Burundi had the lowest percentage of their urban population with access to electricity (< 50%) by 2022.
Access_to_justice_Index__IDEA_.png,"The graph shows the access to justice index of selected countries from 1975 to 2021. Ukraine and Montenegro are the only countries with missing information, from 1975 to 1988 for the former and from 1975 to 2002 for the latter. Only Finland and Germany consistently had the highest index. By 2022, Libya and Somalia are the only countries who have the lowest index. There is no consistent trend observed in the countries as it varies between each of them."
Adjusted_net_enrollment_rate__primary____of_primary_school_age_children_.png,"The graph shows the adjusted net enrollment rate in primary schools in selected countries from 1999 to 2017, expressed in percentage of children in primary school age. Majority of the countries have missing information, while Lebanon, Somalia, and Afghanistan had no data throughout said years. Mauritius, Belgium, Cyprus, Hungary, Argentina, and Fiji consistently had the highest adjusted net enrollment rate in the primary level. By 2022, Chad and Gambia had the lowest adjusted net enrollment rate (60% to 70%)."
Adjusted_net_enrollment_rate__primary__female____of_primary_school_age_children_.png,"The graph shows the adjusted net enrollment rate in primary schools of female children in selected countries from 1999 to 2017, expressed in percentage of female children in primary school age. Majority of the countries have missing information, while China had no information throughout the period. The trend for the countries is generally upward, with majority of the countries with information exhibiting high enrollment rates (87% to 98%) by 2017. Chad had the lowest enrollment rate by 2017 (63% to 75%)."
Adjusted_net_enrollment_rate__primary__male____of_primary_school_age_children_.png,"The graph shows the adjusted net enrollment rate in primary schools of male children in selected countries from 1999 to 2017, expressed in percentage of male children in primary school age. All countries have missing information, and majority of them still have missing information by 2017. The trend for the countries is generally upward, with Italy, Australia, Antigua and Barbuda, Cuba, Chile, Barbado, Saint Lucia, and Philppines having high enrollment rates (87% to 98%) by 2017. On the other hand, Mauritania had the lowest enrollment rate (68% to 76%) by 2017."
Adjusted_net_national_income__annual___growth_.png,"The graph shows the adjusted net national income of selected countries from 1981 to 2021, expressed in annual percentage growth. Majority of the countries have missing information. net national of the countries mostly placed between -5% to 10%. India had the most consistent growth, with net national income ranging from 2% to 10% from 1981 to 2018. Between 2019 to 2021, Afghanistan had the lowest net national income (-21% to -13%), while Estonia Bosnia and Herzegovina, Togo, and Ukraine had positive net national income (2% to 10%)."
Adjusted_net_national_income__constant_2015_US__.png,"The graph shows the adjusted net national income of selected countries from 1981 to 2021, expressed in constant 2015 US dollars. Most countries have missing data, whereas Sudan, Saudi Arabia, SIngapore, Afghanistan, and Qatar only have data between 2014 to 2015. Majority of the countries consistenly reported low values of adjusted net national income, except for Sweden, Mexico, and Poland. All three alongside Norway had an updward trend in adjusted net national income, where Mexico had the highest value from 2005 to 2021."
Adjusted_net_national_income__current_US__.png,"The graph shows the adjusted net national income of selected countries from 1981 to 2021, expressed in current US dollars. Some countries have missing data from 1971 to 2000. Majority of the countries consistenly reported the lowest values of adjusted net national income, except for German and China. Both countries had an upward trend in adjusted net national income, where China had the highest value from 2017 to 2021."
Adjusted_net_national_income_per_capita__annual___growth_.png,"The graph shows the adjusted net national income per capita of selected countries from 1981 to 2021, expressed in annual percentage growth. Majority of the countries have missing information, specifically Sudan and the Central African Republic having sparse data. The lowest growth rate was reported by the Russian Federation (1988 to 1994). The highest growth rate were reported by Azerbaijan (2002 to 2008) and Rwanda (1995 to 2001). Annual growth rates were inconsistent and varies between countries, but majority of the reported annual growth rates were between -2% to 6%."
Adjusted_net_national_income_per_capita__constant_2015_US__.png,"The graph shows the adjusted net national income per capita of selected countries from 1981 to 2021, expressed in constant 2015 US dollars. Majority of the countries have missing information. Most countries consistently reported the lowest values except for Seychelles, Kuwait, Norway, and Aruba. Both Seychelles and Norway had an upward trend in adjusted net national income per capita, where Norway had the highest value from 2002 to 2021."
